Symbol,Name,Market Cap,Country,Sector,Industry
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,0.00,United States,Industrials,Consumer Electronics/Appliances
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,323347700.00,,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,111874700.00,United States,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,0.00,United States,Industrials,Consumer Electronics/Appliances
ACAXU,Alset Capital Acquisition Corp. Unit,0.00,United States,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,449597330.00,Canada,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,62961600.00,Hong Kong,Finance,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,0.00,Hong Kong,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accolade Inc. Common Stock,714942737.00,United States,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,554761504.00,United States,Consumer Discretionary,Advertising
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,382500000.00,,,
ACEL,Accel Entertainment Inc. ,866423610.00,United States,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),21372000.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,280330439.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,142173703.00,United States,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,0.00,United States,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,17092147573.00,Bermuda,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,0.00,Bermuda,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,0.00,Bermuda,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,7252092815.00,United States,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,119051370.00,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,824006266.00,United States,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,44439714.00,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,14687821228.00,United States,Consumer Staples,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,424781250.00,,Industrials,Consumer Electronics/Appliances
ACIU,AC Immune SA Common Stock,242733279.00,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,2599915652.00,United States,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,2093164424.00,United States,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,795602231.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,10108227718.00,United States,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,944808596.00,United States,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),179687827696.00,Ireland,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,300653677.00,United States,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,,United States,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,9229388.00,United States,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,0.00,United States,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,9662546.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,190523407.00,United States,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,United States,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,611827827.00,United States,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,0.00,United States,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,0.00,United States,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,88275316.00,United States,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,,United States,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,United States,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,703888034.00,United States,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,418528125.00,,Industrials,Consumer Electronics/Appliances
ACRS,Aclaris Therapeutics Inc. Common Stock,1139882179.00,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,43399259.00,United States,Health Care, Medicinal Chemicals and Botanical Products 
ACST,Acasti Pharma Inc. Class A Common Stock,36440602.00,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,4043372298.00,United States,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,195607611.00,United States,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,97134623.00,United States,Consumer Discretionary,Home Furnishings
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,221663586.00,United States,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,1321456912.00,United States,Industrials,Metal Fabrications
ACXP,Acurx Pharmaceuticals Inc. Common Stock,34689623.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,66566999.00,China,Health Care,Biotechnology: Pharmaceutical Preparations
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,303082500.00,United States,,
ADALU,Anthemis Digital Acquisitions I Corp Unit,0.00,United States,,
ADALW,Anthemis Digital Acquisitions I Corp Warrant,0.00,United States,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,327278776.00,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe Inc. Common Stock,172289520000.00,United States,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,5570537525.00,United States,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,United States,,
ADCT,ADC Therapeutics SA Common Shares,493891367.00,,Health Care,Biotechnology: Pharmaceutical Preparations
ADER,26 Capital Acquisition Corp. Class A Common Stock,339625000.00,United States,Industrials,Consumer Electronics/Appliances
ADERU,26 Capital Acquisition Corp. Unit,0.00,United States,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,0.00,United States,Industrials,Consumer Electronics/Appliances
ADES,Advanced Emissions Solutions Inc. Common Stock,68937343.00,United States,Industrials,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp. Common Stock,340515000.00,,Technology,EDP Services
ADGI,Adagio Therapeutics Inc. Common Stock,524558027.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADI,Analog Devices Inc. Common Stock,77258769942.00,United States,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,13029647.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,0.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,49298829131.00,United States,,
ADMA,ADMA Biologics Inc Common Stock,551748909.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,49164514.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,60292714.00,United States,Utilities,Power Generation
ADNT,Adient plc Ordinary Shares ,3071888647.00,,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,0.00,United States,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,56086958.00,United States,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,0.00,United States,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,99624340809.00,United States,Consumer Discretionary,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,1240227741.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,Adara Acquisition Corp. Class A Common Stock,142600000.00,United States,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,145187500.00,,Industrials,Consumer Electronics/Appliances
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,393391658.00,Ireland,,
ADSEW,ADS-TEC ENERGY PLC Warrant,0.00,Ireland,,
ADSK,Autodesk Inc. Common Stock,43169814411.00,United States,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,6534550992.00,United States,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,226364144.00,United States,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,0.00,United States,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,1753545092.00,United States,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,6306343.00,United States,Health Care, Medicinal Chemicals and Botanical Products 
ADUS,Addus HomeCare Corporation Common Stock,1412998191.00,United States,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,1098510819.00,United States,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,109635087.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADX,Adams Diversified Equity Fund Inc.,1878199138.00,United States,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,6630250.00,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,126318685.00,United States,Energy,Oilfield Services/Equipment
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,297300000.00,United States,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,0.00,United States,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,0.00,United States,Finance,Business Services
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,286350000.00,United States,Industrials,Consumer Electronics/Appliances
AEE,Ameren Corporation Common Stock,23996989203.00,United States,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,263909246.00,United States,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0.00,,,
AEG,AEGON N.V. Common Stock,8821268060.00,Netherlands,Finance,Life Insurance
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,134828875.00,United States,Industrials,Consumer Electronics/Appliances
AEHAU,Aesther Healthcare Acquisition Corp Units,0.00,United States,Industrials,Consumer Electronics/Appliances
AEHAW,Aesther Healthcare Acquisition Corp Warrants,0.00,United States,Industrials,Consumer Electronics/Appliances
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),5275237.00,China,Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,362919708.00,United States,Industrials,Electrical Products
AEI,Alset EHome International Inc. Common Stock,29858967.00,United States,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,3252261432.00,United States,Consumer Discretionary,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,3537323490.00,United States,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,United States,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,United States,,
AEM,Agnico Eagle Mines Limited Common Stock,18939148010.00,Canada,,
AEMD,Aethlon Medical Inc. Common Stock,15830218.00,United States,Miscellaneous,Diversified Commercial Services
AENZ,Aenza S.A.A. American Depositary Shares,251389734.00,,Industrials,Military/Government/Technical
AEO,American Eagle Outfitters Inc. Common Stock,1888832579.00,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,51914180752.00,United States,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,0.00,United States,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,10681964743.00,Netherlands,Consumer Discretionary,Diversified Commercial Services
AERC,AeroClean Technologies Inc. Common Stock,45825355.00,United States,Utilities,Environmental Services
AERI,Aerie Pharmaceuticals Inc. Common Stock,738583173.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation Common Stock,17464529717.00,United States,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,0.00,United States,Utilities,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc. Common Stock,55154839.00,United States,Telecommunications,Cable & Other Pay Television Services
AEVA,Aeva Technologies Inc. Common Stock,595933302.00,,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc. Common Stock,26307515.00,United States,Consumer Discretionary,Durable Goods
AEYE,AudioEye Inc. Common Stock,76064343.00,United States,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,21123061.00,Canada,,
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,216487500.00,United States,Miscellaneous,Other Pharmaceuticals
AFACW,Arena Fortify Acquisition Corp. Warrant,0.00,United States,Miscellaneous,Other Pharmaceuticals
AFAQ,AF Acquisition Corp. Class A Common Stock,274960000.00,United States,Industrials,Consumer Electronics/Appliances
AFAQW,AF Acquisition Corp. Warrants,0.00,United States,Industrials,Consumer Electronics/Appliances
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,144320400.00,Singapore,,
AFARU,Aura FAT Projects Acquisition Corp Unit,0.00,Singapore,,
AFARW,Aura FAT Projects Acquisition Corp Warrant,0.00,Singapore,,
AFB,AllianceBernstein National Municipal Income Fund Inc,322805631.00,United States,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),97582829.00,United States,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,328522522.00,United States,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,10826679748.00,United States,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,0.00,United States,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,21378445.00,United States,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,0.00,United States,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,0.00,United States,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,29186374.00,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,38263373557.00,United States,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,391216351.00,Germany,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,260898738.00,Gibraltar,Consumer Staples,Farming/Seeds/Milling
AFRIW,Forafric Global PLC Warrants,0.00,Gibraltar,Consumer Staples,Farming/Seeds/Milling
AFRM,Affirm Holdings Inc. Class A Common Stock,6430361784.00,United States,Technology,EDP Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,204169568.00,,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,305312500.00,,,
AFYA,Afya Limited Class A Common Shares,1186677049.00,Brazil,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),1924085190.00,Canada,,
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,510772500.00,,Finance,Business Services
AGBA,AGBA Acquisition Limited Ordinary Share,54059108.00,Hong Kong,Finance,Investment Managers
AGBAR,AGBA Acquisition Limited Right,0.00,Hong Kong,Finance,Investment Managers
AGBAW,AGBA Acquisition Limited Warrant,0.00,Hong Kong,Finance,Business Services
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,568912000.00,,Finance,Business Services
AGCO,AGCO Corporation Common Stock,7964992956.00,United States,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,119597516.00,United States,Finance,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeutics Inc. Common Stock,21631341.00,,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,726947830.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,88453961.00,United States,,
AGFY,Agrify Corporation Common Stock,17499825.00,United States,Consumer Discretionary,Military/Government/Technical
AGGR,Agile Growth Corp. Class A Ordinary Share,382462500.00,United States,Finance,Business Services
AGGRU,Agile Growth Corp. Units,0.00,United States,Finance,Business Services
AGGRW,Agile Growth Corp. Warrant.,0.00,United States,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,2808422398.00,Canada,Basic Materials,Precious Metals
AGIL,AgileThought Inc. Class A Common Stock,211988377.00,United States,Technology,EDP Services
AGILW,AgileThought Inc. Warrant,0.00,United States,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,1745027325.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,8569819283.00,,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeutics Inc. Common Stock,31809705.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation Common Stock,1167804398.00,United States,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,United States,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,United States,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,United States,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,United States,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,United States,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,67330604.00,Hong Kong,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,6159944493.00,United States,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,0.00,United States,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,0.00,United States,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,0.00,United States,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,0.00,United States,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,3313627999.00,Bermuda,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,18981040868.00,United States,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,30151501.00,Canada,,
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,0.00,Canada,,
AGRO,Adecoagro S.A. Common Shares,989719797.00,Luxembourg,Consumer Staples,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,11973229.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,273851077.00,United States,Consumer Discretionary,Recreational Games/Products/Toys
AGTC,Applied Genetic Technologies Corporation Common Stock,26789568.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGTI,Agiliti Inc. Common Stock,2112828701.00,,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,464713358.00,United States,Industrials,Oilfield Services/Equipment
AGYS,Agilysys Inc. Common Stock (DE),1333790170.00,United States,Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp. Common Stock,2360801798.00,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHG,Akso Health Group ADS,72193336.00,China,Finance,Finance: Consumer Services
AHH,Armada Hoffler Properties Inc. Common Stock,863268062.00,United States,Real Estate,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,
AHI,Advanced Human Imaging Limited. American Depositary Shares,30014888.00,Australia,,
